logM, logSFR
10.1456, 0.6354651
10.23659, 0.7419492
10.29529, 0.4558111
10.11507, -0.5054193
10.30811, 0.7384135
10.99742, 0.3348342
10.01744, 0.4862093
10.05379, 0.6212412
10.16809, 0.793898
10.27117, 0.8340127
10.35079, 0.4065235
10.019, 1.031704
10.11678, 0.6155904
10.24028, 0.649397
10.30944, 0.9447516
10.54276, 0.9449522
10.15525, 0.8767473
10.40371, 0.7458805
10.1306, 0.703634
10.0159, 0.5038855
10.22875, 0.7098248
10.6248, 1.332418
10.20199, 0.3881897
10.29704, 1.024224
10.31294, 0.3728915
10.57876, 1.303808
10.36032, 0.6643648
10.3049, 0.8972535
10.30539, 0.8211784
10.46675, 0.85159
10.82103, 0.7130947
10.55743, 0.9355785
10.48865, 0.9873717
11.00084, 0.5170886
10.25332, 0.9957801
10.58879, 0.7621129
11.11168, 1.0152
10.65012, 1.248578
10.2273, 0.7372993
10.07352, 0.4845134
10.81161, 1.455595
10.35388, 1.059787
10.27883, 0.6691669
10.53382, 0.2397913
10.41174, 0.7150933
10.51133, -1.043187
10.83371, 1.478047
10.00166, 0.2935796
10.11894, 0.6616575
11.05398, -0.4018536
10.29305, 0.7652503
10.17865, 0.5135136
11.06379, 1.338033
10.95474, 0.07435711
10.85659, -0.3041384
10.51512, 1.025561
10.33835, 0.02423524
10.83117, -1.177537
10.8342, 0.450112
10.62695, -0.5370634
10.53326, 0.6886217
10.55804, 0.113104
10.16787, 0.3202206
10.20764, 0.8761302
10.78466, 0.517769
10.2492, 0.4760814
10.31292, 0.741186
10.29106, 0.6579902
10.26573, 0.6295807
10.45792, 1.500914
10.76872, 0.5222346
10.09661, 0.6872551
10.30957, 0.7662922
10.14175, 0.8966308
10.56671, 1.012738
10.1807, 1.12398
10.4206, 0.2048166
10.18359, 1.066609
10.86694, 1.159422
10.14498, 0.2764841
10.29478, 0.4968543
10.86864, -0.3154166
10.45185, 0.4998155
10.37181, 0.7348572
10.81689, 1.311614
10.28213, 0.5516002
10.21715, 0.5678067
10.27257, 0.9499356
10.18092, 0.9925958
10.52034, 1.40225
10.42301, 1.157106
10.29008, 0.7595191
11.18212, 0.2558287
10.86296, 1.16773
10.65483, -0.7334208
10.70885, 1.871332
10.28746, 0.6576673
10.59168, 0.7281367
10.10647, 0.5667412
10.31335, 0.4248033
10.28465, 0.7974016
10.38889, 0.8088711
10.15458, 0.7282438
10.61359, 1.325117
10.10427, 0.7770479
10.18803, 0.6619242
10.48448, 0.5356152
10.94218, 0.09188531
10.51798, 0.8400247
10.55319, 0.942816
10.39768, 0.8025697
10.92075, 1.699171
11.07244, 0.7637346
10.58721, 1.379338
10.45178, 1.088051
10.05906, 0.3667779
10.35948, 0.9451449
10.20541, 0.8545312
10.34204, 0.7552903
11.35329, 0.7997524
10.65088, -0.7263393
10.29498, 0.7673665
10.45072, 1.196109
10.57329, 1.020905
10.06135, 0.5506919
10.5071, -1.013074
10.93351, -0.3444138
10.10593, 0.9665704
10.53303, 0.7251222
10.45202, 1.085882
10.69799, 0.9049861
10.11215, 0.5357144
10.35657, 0.9943247
10.64152, 1.229029
10.81424, 1.014801
10.40615, 0.6911439
10.16926, 0.5126742
10.38752, 0.2098193
10.96272, 1.729293
10.44023, 0.7819057
10.39759, 1.002826
10.61355, 0.8860664
10.36847, 0.9006206
10.87382, 0.7210909
10.73847, 0.5822884
10.51557, 0.9432839
10.33016, 0.6078843
10.33696, 0.7229395
10.83496, 0.2521393
10.08879, 0.726952
10.44811, 1.088143
10.28809, 0.6755381
10.24912, 1.081429
10.89116, 1.607677
10.11238, 0.4392379
11.33755, 0.9934865
10.23163, 0.7160481
10.43332, 0.6201336
10.04547, 0.4181113
10.16478, 0.549035
10.32958, 1.022735
10.06926, 0.1317324
10.4731, 0.8302031
10.25342, 1.171817
11.10359, 1.247959
10.01139, 0.3934556
10.50027, 0.4241109
10.18696, 0.8499999
